"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-17","PL-IFC-163CR30-REBK-BRK","X00232W8CR","B07BKP4H3J","30Ft Retractable Extension Cord Reel with Breaker Switch & 3 Electrical Power Outlets - 16/3 SJTW Durable Red Cable - Perfect for Hanging from Your Garage Ceiling","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","11","42","63","","43.99","43.99","43.95","0.0","Improve recommendations","0","0.0","0","0","0.0","0.900523560209424","0.307744","cubic feet","Standard"
"2021-07-17","PL-IFC-163G03-2PK","X002JUSO9J","B08B6GXS6W","2 Pack of 3 Ft Outdoor Extension Cords - 16/3 SJTW Green 3 Prong Electrical Cable - Great for Powering Christmas Decorations","New","167","0","167","0","0","0","0","USD","0","0.0","0","0.0","36","113","125","138","","8.13","8.13","8.13","0.0","Improve recommendations","170","8.03","0","0","0.0","1.1621052631578948","4.086991","cubic feet","Standard"
"2021-07-17","PL-IL-MRH-BK-4PK","X002CUF9BR","B07ZKWYGCN","Ilyapa Metal Vinyl Record Shelf Wall Mount, 4 Pack - Black Steel Record Album Holder Display Your LP","New","18","0","0","18","0","0","0","USD","0","0.0","0","0.0","8","39","73","139","Low traffic","16.99","16.99","16.99","0.0","Lower price","23","16.99","0","0","0.0","1.640117994100295","1.288080","cubic feet","Standard"
"2021-07-17","amzn.gr.v1.9udKAeyRvyZjJ2g0ZP0G7qyN2T0","X002VX7WK1","B085PTMP2N","9 Pack of Door Hinges Satin Nickel - 4 x 4 Inch Interior Hinges for Doors with 5/8 Inch Radius","Used","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low traffic","18.74","18.74","0.0","18.74","Lower price","1","18.74","0","0","0.0","2.0851063829787235","0.054667","cubic feet","Standard"
"2021-07-17","PL-PP-CH-PUGY-CP","X002TFB955","B07ZTL1NWK","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Purple & 4 Gray Corn Hole Bags","New","110","0","110","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","25.99","25.99","16.95","0.0","Lower price","112","25.99","0","0","0.0","2.066518847006652","15.519240","cubic feet","Standard"
"2021-07-17","PL-IL-CHVO.375-SN-50PK","X002I4HWB7","B086VMN7CX","Ilyapa Self Closing Cabinet Hinges Satin Nickel, 50 Pack - 3/8 Inch Inset Variable Overlay Kitchen Cabinet Door Hinge Hardware","New","1048","0","1048","0","0","0","0","USD","0","0.0","0","0.0","20","116","201","233","","28.99","28.99","28.99","22.7","Improve recommendations","1054","28.99","0","0","0.0","0.35646568069776263","151.860440","cubic feet","Standard"
"2021-07-17","PL-IL-LD8x12-4PK","X002EU3K6L","B082P46MWD","Heavy Duty Floating Shelf Brackets, Rustic Iron 4 Pack - 8 x 11.25 Inch Black Metal Shelf Holders for Wall Mount Shelves","New","109","0","109","0","0","0","0","USD","0","0.0","0","0.0","6","25","38","65","Low traffic","16.99","16.99","16.99","8.99","Lower price","111","16.99","0","0","0.0","0.9059233449477352","23.428896","cubic feet","Standard"
"2021-07-17","PL-CT-MS18H-64PK","X002ILET75","B087Y6C1NS","Metal Stamping Kit, 64 Piece Punch Set - Handwritten Style Font Number & Letter Stamps for Metal, Jewelry, Wood, Leather & More","New","130","0","130","0","0","0","0","USD","0","0.0","0","0.0","4","7","7","7","Low traffic","30.93","30.93","30.93","29.07","Lower price","128","31.95","0","0","0.0","0.24390243902439024","3.833310","cubic feet","Standard"
"2021-07-17","PL-IFC-PW14-4PK","X002409HJ5","B07QFXRH2P","14 Gauge Primary Wire - 4 Roll Assortment Pack - 100 Ft of Copper Clad Aluminum Wire per Roll","New","108","0","108","0","0","0","0","USD","0","0.0","0","0.0","0","2","46","212","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","2.5542168674698793","11.756232","cubic feet","Standard"
"2021-07-17","PL-IL-KNB-PAS-BALL-SN-1PK","X002LL579V","B08DRVCC38","Ilyapa Passage Door Knob for Hall/Closet - Ball, Satin Nickel Interior Keyless Non Locking Round Door Handle, Satin Nickel","New","28","0","6","22","0","0","0","USD","0","0.0","0","0.0","7","84","123","144","","11.96","11.96","11.96","0.0","Improve recommendations","29","10.99","0","0","0.0","1.271523178807947","1.405432","cubic feet","Standard"
"2021-07-17","PL-PP-CH-ORTL","X002D1J5OH","B07ZTM4LSD","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - 4 Orange & 4 Teal Corn Hole Bags","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","29","183","235","","19.07","19.07","18.99","0.0","Improve recommendations","0","0.0","0","0","0.0","2.2169625246548326","0.140625","cubic feet","Standard"
"2021-07-17","PL-IFC-LV142B100","B07FYWBPHR","B07FYWBPHR","14/2 Low Voltage Landscape Wire - 100ft Outdoor Low-Voltage Cable for Landscape Lighting, Black","New","172","0","172","0","0","0","0","USD","0","0.0","0","0.0","5","36","62","113","","33.99","33.99","33.99","0.0","Improve recommendations","168","33.99","0","0","0.0","0.872865275142315","15.945776","cubic feet","Standard"
"2021-07-17","PL-PP-CHPRO2-ORBL","X002D1GUEF","B07ZTNKQ6W","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Orange & 4 Royal Blue","New","639","0","639","0","0","0","0","USD","0","0.0","0","0.0","113","523","893","965","","27.95","27.95","27.95","23.66","Improve recommendations","636","27.95","0","0","0.0","1.5347912524850895","135.236043","cubic feet","Standard"
"2021-07-17","amzn.gr.v1.tp12ZlARTpUudpekHEp_blebYWY","X002T0AJ0V","B08KSKMGQF","Play Platoon Golf Chipping Game - Great Backyard Golf Cornhole Game - Includes Board, 20 Golf Balls, Carry Case, Scoreboard and Chipping Mat","Used","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","93.59","93.59","109.49","93.59","Lower price","0","0.0","0","0","0.0","1.5076071922544951","2.878194","cubic feet","Oversize"
"2021-07-17","PL-IL-CKWH-K10","X002ONEG39","B08LDT99Z1","Ilyapa Flat Black Kitchen Cabinet Knobs - Minimalist Cylindrical Whistle Knob Handles - 10 Pack of Kitchen Cabinet Hardware","New","61","0","61","0","0","0","0","USD","0","0.0","0","0.0","1","13","18","18","","9.99","9.99","9.99","0.0","Improve recommendations","63","9.99","0","0","0.0","0.5255474452554745","1.619672","cubic feet","Standard"
"2021-07-17","PL-PP-B20X20T-BG","X001DJ3389","B06XZZQVTS","Play Platoon Kids Activity Table Set - 5 in 1 Water Table, Building Block Table, Craft Table and Sensory Table with Storage - Includes 2 Chairs and 25 Ex-Large Blocks – Blue and Green","New","171","0","171","0","0","0","0","USD","0","0.0","0","0.0","18","86","203","278","","64.97","64.97","64.97","0.0","Improve recommendations","175","64.97","0","0","0.0","1.7964458804523424","232.749981","cubic feet","Oversize"
"2021-07-17","PL-IL-ARH-BK-6PK","X002PQ32MV","B08NLBXTHC","Ilyapa Acrylic Vinyl Record Shelf Wall Mount, 6 Pack - Black Record Album Holder Display Your LP","New","62","0","2","60","0","0","0","USD","0","0.0","0","0.0","3","17","50","85","Low traffic","19.99","19.99","19.99","0.0","Lower price","65","20.16","0","0","0.0","0.821256038647343","9.217788","cubic feet","Standard"
"2021-07-17","PL-PP-CHC-LBGY-CP","X002TFB95Z","B07ZTPXRD4","Corn Filled Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - Light Blue & Gray","New","56","0","56","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","23.99","23.99","19.99","0.0","Lower price","0","0.0","0","0","0.0","0.5524861878453039","14.765688","cubic feet","Standard"
"2021-07-17","PL-IL-CABPTM-CRV-B25","X002B9KHVL","B07XTKRCZP","Ilyapa Oil Rubbed Bronze Kitchen Cabinet Pulls - 3.75 Inch Hole Center Curved Pull Handle Bar - 25 Pack of Kitchen Cabinet Hardware","New","18","0","5","13","0","0","0","USD","0","0.0","0","0.0","11","32","67","80","","38.99","38.99","38.99","19.56","Improve recommendations","13","38.99","0","0","0.0","1.1467576791808873","1.458648","cubic feet","Standard"
