"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B097Z1PWJS","B073ZMYFRB","25 Foot Lighted Outdoor Extension Cord - 14/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","PL-IFC-143Y25","77","0.13%","100","0.13%","100%","51","15","66.23%","19.48%","$1,054.57","$281.28","37","4"
"B0891LXZCH","B07GC381XF","1100 Piece Building Bricks Kit with Wheels, Tires, Axles, Windows and Doors Pieces - Pastel Colors - Compatible with All Major Brands","PL-PP-B1120P","279","0.47%","374","0.48%","100%","70","11","25.09%","3.94%","$1,857.31","$291.39","51","4"
"B08L3X1KJG","B07M65H5N2","Ilyapa Window Frame Wall Decor 2 Pack - Rustic White Wood Window Pane Country Farmhouse Decorations","PL-IL-WP11X15-WHT-2PK","936","1.58%","1,183","1.53%","98%","60","4","6.41%","0.43%","$1,199.40","$79.96","59","4"
"B07PDZY8VY","B07YGPPFGF","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Improved Bean Bags for Pro Corn Hole Game - 4 Red & 4 Blue","PL-PP-CHPRO2-REBL","327","0.55%","424","0.55%","100%","110","5","33.64%","1.53%","$3,355.51","$155.62","104","4"
"B07PDZY8VY","B07ZTM9VC4","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Yellow & 4 Gray","PL-PP-CHPRO2-YEGY","187","0.32%","238","0.31%","100%","43","4","22.99%","2.14%","$1,107.14","$105.34","41","4"
"B082FNK7V6","B082FN2CGX","12 AWG Replacement Power Cord with Open End - 10 Ft Black Extension Cable, 12/3 SJT, NEMA 5-15P","PL-IFC-RC123B-10","90","0.15%","114","0.15%","100%","33","9","36.67%","10.00%","$878.69","$243.94","22","4"
"B01BYK3JIY","B01BYK3JIY","Play Platoon Parachute 10 Foot for Kids with 10 Handles Play Parachute - Multicolored Parachute","PL-PP-PARA10","170","0.29%","217","0.28%","100%","96","4","56.47%","2.35%","$2,176.00","$90.31","86","3"
"B097HNMKRC","B01JMZX0KK","Ilyapa 25 Pack Satin Nickel 1 1/14 Inch Round Kitchen Cabinet Knobs, Round Drawer Knob for Cabinets Dressers Drawers - Satin Nickel Kitchen Cabinet Hardware","PL-IL-CABKRB-S25","209","0.35%","304","0.39%","98%","49","3","23.44%","1.44%","$1,371.51","$83.97","42","3"
"B07YG87V1X","B01JMZXC1M","18 Pack of Door Hinges Satin Nickel - 3 ½” x 3 ½” Inch Interior Hinges for Doors Brushed Nickel with 5/8"" Radius Corners","PL-IL-DH35-S18","296","0.50%","412","0.53%","100%","123","4","41.55%","1.35%","$4,672.67","$151.25","99","3"
"B08T63XBNV","B01JMZXUKU","Ilyapa Spring Door Stops - 10 Pack 3 ¼ Inch Heavy Duty Door Stop - Traditional Spring Door Stop - Satin Nickel w/Rubber Bumper","PL-IL-DS-S10","20","0.03%","22","0.03%","95%","19","4","95.00%","20.00%","$170.81","$35.96","17","3"
